periods_n,posts_total,vol_tv_mean,vol_tv_p90,turn_rate,entropy_mean,hhi_mean,top1_mean
9,968,0.1620043745788675,0.35790849673202607,0,0.9570029325259074,0.561152772597749,0.7224061785832556
4,616,0.33793307983418813,0.49250463470412326,0,2.498829751140393,0.11512542051731303,0.24990950486474783
20,780,0.43471344709000337,0.5719232083077133,0.3684210526315789,1.8180608354017511,0.24854175197746944,0.4045633134389582
21,963,0.4137719300429022,0.5384937384791812,0.2,1.8401526070938712,0.2540636357477559,0.4278543901561396
21,537,0.3781822518728374,0.5761904761904761,0.1,0.944968653709308,0.5497230552510712,0.6959011122994583
5,597,0.16406827355155312,0.19455680902497982,0,0.882405029184777,0.6396374450111871,0.7922809755767048
4,372,0.4780291269313226,0.637600354845864,0.3333333333333333,2.07217008126909,0.17180548312950011,0.2876275227323132
6,947,0.3327681731427449,0.4292233046817905,0.4,2.5264750328682997,0.10780137266252689,0.1959834681787864
10,215,0.5708869802870598,0.9057142857142858,0.6666666666666666,1.5014229334008349,0.31772644525094146,0.460972001475022
20,681,0.5615399530761197,0.7602043506921555,0.631578947368421,1.728468232624816,0.2826850400410927,0.4343484641719262
9,993,0.3846362969463006,0.49307073030477283,0.875,2.717633540199384,0.08021977622928529,0.14016178736233023
6,116,0.39256410256410257,0.46,0,1.5446884521333908,0.32536037298382814,0.5171643049932524
13,713,0.3839427327859348,0.4690913244095208,0.5,2.3952712546512807,0.1288897559166678,0.2529287345279141
19,612,0.4961742395215144,0.6741386206768246,0.6111111111111112,2.0150056939667267,0.19275908925419083,0.3246147812373435
12,959,0.2999582642835782,0.3945627157652474,0.6363636363636364,2.562822081141132,0.1149582429054854,0.2206317442612312
23,950,0.5648343084190742,0.8043902439024391,0.9090909090909091,2.1203027790524787,0.1741895766450111,0.29688675983996093
19,956,0.4431474617258815,0.6022089947089948,0.3333333333333333,1.8032603264648477,0.2665269561038655,0.4393999172331515
23,860,0.5751907878000941,0.68607820586544,0.9090909090909091,2.1250579386124526,0.17471660538854825,0.2868981033380862
