period,posts_n,top_topic,top1_share,entropy,hhi,vol_tv,vol_js,turn_top1
2021/9/1,11,17,0.36363636363636365,1.2945451658448959,0.28925619834710736,0.3982683982683982,0.1096920266817526,0
2021/10/1,14,7,0.35714285714285715,1.2914167691452025,0.29591836734693877,0.26623376623376627,0.06293623160257689,1
2021/12/1,16,17,0.4375,1.3686896376228384,0.296875,0.1875,0.0380354304404984,1
2022/1/1,16,17,0.625,0.9868994488385301,0.4609375,0.25,0.08964958993877845,0
2022/3/1,13,17,0.7692307692307693,0.5402041423888608,0.6449704142011835,0.14423076923076925,0.0472508454934114,0
2022/7/1,21,7,0.5714285714285714,0.9099250471537522,0.44671201814058953,0.4358974358974359,0.11462872434871976,1
2022/8/1,15,7,0.4666666666666667,0.8918673953172509,0.44000000000000006,0.13333333333333333,0.009496275601691907,0
2022/9/1,34,17,0.7352941176470589,0.8587368689306084,0.5657439446366783,0.3568627450980392,0.10160881915512528,1
2022/10/1,37,17,0.7027027027027027,0.9326286763328193,0.5237399561723887,0.04928457869634341,0.0040535226666874894,0
2022/11/1,15,7,0.4,1.3095258353040693,0.2888888888888889,0.5027027027027027,0.1455000292021598,1
2022/12/1,18,17,0.3888888888888889,1.2762573642361792,0.30246913580246915,0.22222222222222224,0.03436226439037133,1
2023/1/1,19,7,0.47368421052631576,1.2469826398977566,0.3240997229916897,0.1842105263157895,0.02092226976363684,1
2023/2/1,14,7,0.42857142857142855,1.2396593920543857,0.31632653061224486,0.2556390977443609,0.1106296397447871,0
2023/3/1,16,17,0.5625,0.9840865030829146,0.4140625,0.2767857142857143,0.060088359017501376,1
2023/4/1,17,17,0.4117647058823529,1.3180238017106036,0.314878892733564,0.2830882352941177,0.07167745499555131,0
2023/5/1,25,11,0.44,1.1509939592166962,0.3504,0.12941176470588234,0.026173096824715174,1
2023/6/1,18,11,0.4444444444444444,1.0263306332944864,0.3765432098765432,0.039999999999999994,0.014181214244407981,0
2022/9/1,44,6,0.4090909090909091,1.9832707772780742,0.21694214876033058,,,
2022/10/1,43,21,0.27906976744186046,2.250000536533453,0.15413737155219037,0.5375264270613108,0.2695850100437863,1
2022/11/1,50,21,0.4,1.6496814186801418,0.27360000000000007,0.24511627906976746,0.09015276459421301,0
2022/12/1,53,6,0.49056603773584906,1.8654721790565019,0.27091491634033465,0.3913207547169812,0.13118286897613446,1
2023/1/1,42,6,0.2857142857142857,2.243618513741878,0.1473922902494331,0.4353099730458221,0.1806370760033037,0
2023/2/1,40,6,0.4,1.7477898742609896,0.22750000000000004,0.4273809523809524,0.1980442930158798,0
2023/3/1,45,6,0.4,2.011525376731992,0.20395061728395064,0.2972222222222222,0.17078444115896577,0
2023/4/1,24,31,0.25,2.1524913125743104,0.1423611111111111,0.538888888888889,0.24588117464253934,1
2023/5/1,31,12,0.22580645161290322,2.388209223164952,0.11550468262226846,0.48790322580645157,0.21518951957824767,1
2023/6/1,30,31,0.23333333333333334,2.1554698732421858,0.14,0.28279569892473116,0.12833931213880811,1
2023/7/1,32,12,0.21875,2.2708961693636502,0.125,0.29166666666666663,0.136313257281295,1
2023/8/1,29,13,0.20689655172413793,2.2323523290225618,0.1296076099881094,0.3049568965517241,0.13815160391210585,1
2023/9/1,25,25,0.24,2.0261206329699606,0.1488,0.35862068965517246,0.13576570012394737,1
2023/10/1,31,15,0.3225806451612903,1.9588320802392347,0.19458896982310092,0.4296774193548387,0.19985439601615704,1
2023/11/1,22,18,0.2727272727272727,2.0507057264557456,0.14876033057851237,0.5791788856304985,0.29830893787719104,1
2023/12/1,22,4,0.22727272727272727,2.0206288590989976,0.15289256198347104,0.5454545454545454,0.2736051287938911,1
2024/1/1,23,25,0.30434782608695654,2.0610713493053967,0.16068052930056712,0.2865612648221344,0.11600138191330464,1
2024/2/1,19,12,0.21052631578947367,2.187270992063101,0.12465373961218834,0.37299771167048057,0.16587790433752952,1
2024/3/1,17,5,0.17647058823529413,1.9761755896363804,0.14878892733564014,0.4953560371517028,0.2665146930237341,1
2024/4/1,22,25,0.2727272727272727,2.0114763529395936,0.15702479338842973,0.3609625668449198,0.1659501473946804,1
2024/5/1,27,12,0.2222222222222222,2.1526747887826585,0.14128943758573387,0.21717171717171715,0.08135405039881216,1
2024/6/1,25,25,0.16,2.6224982289190804,0.08480000000000001,0.38370370370370366,0.15021903726316208,1
2024/7/1,31,25,0.22580645161290322,2.1198941855288442,0.14464099895941723,0.3909677419354839,0.18161902270835123,0
2024/8/1,25,12,0.24,2.192475956304347,0.13279999999999997,0.4941935483870967,0.18279923396924214,1
2024/9/1,19,13,0.21052631578947367,2.0138058938523464,0.1523545706371191,0.45684210526315794,0.19098774014120157,1
2024/10/1,18,25,0.3333333333333333,2.0330001999799117,0.1728395061728395,0.3508771929824561,0.15487923809387785,1
2024/11/1,20,13,0.25,1.9433779257532877,0.16000000000000003,0.4222222222222222,0.2021159297013545,1
2024/12/1,23,12,0.30434782608695654,1.8089909587099504,0.19470699432892252,0.3652173913043479,0.14164005223819304,1
2025/1/1,15,4,0.26666666666666666,2.0262296229952916,0.15555555555555556,0.5130434782608695,0.2563780049147737,1
2025/2/1,19,25,0.21052631578947367,2.260233853174674,0.1191135734072022,0.4982456140350877,0.25806039753580673,1
2025/3/1,17,25,0.23529411764705882,2.068513497359536,0.14186851211072665,0.4148606811145511,0.2240801021940367,0
2025/4/1,20,25,0.3,1.8945141848289306,0.175,0.3205882352941176,0.1610765551914503,0
2025/5/1,20,34,0.25,2.029682547488822,0.15,0.4,0.18178174688689364,1
2025/6/1,19,12,0.21052631578947367,1.9229589236044158,0.1634349030470914,0.49736842105263157,0.25115909496379707,1
2025/7/1,15,34,0.2,2.21106887114461,0.12000000000000002,0.5614035087719298,0.27169606078385433,1
2025/4/1,28,4,0.32142857142857145,1.7742151919245983,0.2066326530612245,,,
2025/5/1,158,4,0.4050632911392405,2.3202451829586357,0.1955616087165518,0.3684448462929475,0.14827926947426182,0
2025/6/1,364,1,0.20054945054945056,2.429050791431461,0.12343014128728416,0.40867992766726946,0.12040280903232384,1
2025/7/1,427,1,0.2810304449648712,2.562356624057935,0.1314711318550532,0.2395964691046658,0.05730443865868422,0
2025/8/1,11,1,0.45454545454545453,1.4142790651247086,0.2892561983471074,0.4824355971896956,0.25600406651614327,0
2017/7/1,66,6,0.4696969696969697,1.9509584919846943,0.25757575757575757,,,
2017/8/1,204,6,0.37254901960784315,2.126145209356668,0.20314302191464823,0.2669340463458111,0.08533353418786174,0
2017/9/1,82,6,0.35365853658536583,2.2121784550057977,0.17459845330160617,0.18448110951697755,0.05459316897046623,0
2017/10/1,41,6,0.2926829268292683,2.2462304145414653,0.14217727543129088,0.30487804878048785,0.13779440116756408,0
2017/11/1,10,18,0.4,1.1935496040981333,0.3400000000000001,0.6560975609756097,0.33772068427570334,1
2017/12/1,21,12,0.2857142857142857,1.8853355890558803,0.17913832199546484,0.519047619047619,0.20438126008324553,1
2018/1/1,19,13,0.21052631578947367,2.159731616075493,0.13019390581717452,0.5989974937343359,0.29845827867642527,1
2018/9/1,14,6,0.5714285714285714,1.450805020083924,0.35714285714285715,0.593984962406015,0.2873437145316701,1
2018/11/1,18,4,0.16666666666666666,2.2161022480912638,0.11728395061728394,0.7301587301587301,0.4547343126137562,1
2019/1/1,23,6,0.21739130434782608,2.039582475086813,0.14555765595463138,0.6038647342995169,0.33337552754070343,1
2019/9/1,26,12,0.34615384615384615,1.6041647202725084,0.2455621301775148,0.4163879598662207,0.14452587813584913,1
2020/2/1,19,21,1,0,1,1,0.693147180431407,1
2020/3/1,20,21,0.6,1.033114087516671,0.435,0.4,0.16389658998944664,0
2021/3/1,22,13,0.2727272727272727,2.0114763529395936,0.15702479338842973,0.7181818181818183,0.3985483951888239,1
2021/4/1,11,13,0.2727272727272727,1.9722469794234416,0.15702479338842973,0.40909090909090906,0.24473776991929197,0
2021/6/1,11,6,0.6363636363636364,1.159588814308626,0.4380165289256198,0.9090909090909092,0.6301338003453094,1
2021/7/1,19,13,0.21052631578947367,2.2877732291622817,0.11357340720221605,0.9473684210526316,0.6459827477161251,1
2021/8/1,21,21,0.38095238095238093,1.9222841453882737,0.20634920634920634,0.46616541353383456,0.24127212804683626,1
2021/9/1,17,12,0.23529411764705882,2.0177460728092216,0.15570934256055363,0.607843137254902,0.3113920893457678,1
2022/3/1,32,34,0.34375,1.9558613649594576,0.1953125,0.8198529411764706,0.48661237576385563,1
2022/4/1,24,12,0.2916666666666667,2.1843588422233218,0.14236111111111113,0.5520833333333334,0.25254629535537754,1
2022/5/1,25,12,0.76,0.8492687260615328,0.5968,0.5466666666666666,0.22371119057130961,0
2022/6/1,12,12,1,0,1,0.24000000000000002,0.09138502717695743,0
2022/9/1,11,12,0.45454545454545453,1.666332585328325,0.256198347107438,0.5454545454545454,0.24144799898094726,0
2022/10/1,10,19,0.3,1.8343719702816237,0.18000000000000002,0.6272727272727272,0.36413752489321305,1
2024/8/1,25,30,0.72,0.9505229100979934,0.5423999999999999,0.96,0.6315713856956509,1
2022/5/1,53,28,0.11320754716981132,2.9908114788162883,0.0615877536489854,,,
2022/6/1,129,1,0.10852713178294573,3.0068706668766567,0.06435911303407248,0.38671932133976894,0.11573789802811721,1
2022/11/1,51,15,0.19607843137254902,2.7203752299074737,0.09034986543637064,0.38896488828089376,0.1355224517233139,1
2022/12/1,343,21,0.2857142857142857,2.627399642267976,0.1273193992299127,0.3454524667009661,0.09414614096023295,1
2023/1/1,412,21,0.1407766990291262,2.8827477028225656,0.07821189556037327,0.2988196665628804,0.07510927038317643,0
2020/6/1,15,28,0.4,1.5519014979437444,0.2533333333333334,,,
2020/7/1,38,30,0.18421052631578946,2.3920978092091745,0.10941828254847645,0.5526315789473685,0.2638675962456609,1
